"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","08/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","09/10/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","14:30","00:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","09/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","12/10/2020","","Feriado","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","13/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","14/10/2020","","Imprensa Delis Ortiz","Ascom 902","10:30","10:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","14/10/2020","","Imprensa - Carla Aranha - Revista Exame","Ascom 902","16:00","16:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","15/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","16/10/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","15:00","00:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","16/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","19/10/2020","","Rádio Gaúcha","Ascom 902","10:00","10:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","19/10/2020","","A Rádio de Natal 96 FM","Ascom 902","12:30","12:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","19/10/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","11:00","00:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","19/10/2020","","Reunião OCDE","Ascom 902","17:00","17:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","20/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","21/10/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","15:30","15:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","22/10/2020","","Reunião Preparatória - Visita aos Municípios de Imperatriz e São Luís no estado do Maranhão","Palácio Planalto, 3º andar, sala 301","16:00","16:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","23/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","26/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","27/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","28/10/2020","","Reunião MCom - Viagem ao Piauí","Gabinete do Ministro, 9º andar, sala 900","15:30","15:30","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","28/10/2020","","Débora Bergamasso SBT","Ascom 902","15:00","15:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","29/10/2020","","Despacho Interno","Ascom 902","11:00","11:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","30/10/2020","","Ponto Facultativo","Ascom 902","08:00","08:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","02/11/2020","","Feriado","Ascom 902","08:00","08:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","03/11/2020","","Café com Geralda","Ascom 902","16:00","16:00","",""
"Chefe da Assessoria Especial de Comunicação Social","","Ministéro das Comunicações","Priscila Costa e Silva","03/11/2020","","Despacho com a Chefe de Gabinete do Ministro Estella Dantas","Gabinete do Ministro, 9º andar, sala 900","17:15","00:00","",""
