"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","10/09/2020","","Despacho com Chefe de Gabinete do Ministro","Gabinete do Ministro","11:00","12:00","","Despacho com  Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","14/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","14:30","15:00","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","15/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","10:30","11:00","","Despachos com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","17/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","17:30","18:00","","Despachos com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","18/09/2020","","Gabinete do Ministro","Gabinete do Ministro_MCOM","10:00","10:30","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","21/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","10:00","11:30","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","21/09/2020","","Reunião/Videoconferência  PL 4.458/20","Ministério das Comunicações","10:30","11:30","","Mudanças na Lei de Falências"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","22/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","00:00","00:00","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","23/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","10:00","10:30","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
"Chefe da Assessoria Especial de Assuntos Parlamentares","","Ministéro das Comunicações","Wagner Primo Figueiredo Neto","24/09/2020","","Despacho com  Chefe de Gabinete do Ministro","Gabinete do Ministro_MCOM","14:30","15:30","","Despacho com Chefe de Gabinete do Ministro - Ministério das Comunicações"
