"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","15/09/2020","","Despachos com Chefe de Gabinete do Ministro, Estella Dantas","Gabinete do Ministério das Comunicações","15:00","15:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","15/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Senador Lucas Barreto (PSD/AP)","Gabinete do Ministério das Comunicações","15:30","16:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","15/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Diogo Mac Cord de Faria, Secretário de Descentralização, Desinvestimento e Mercados do Ministério da Economia.","Gabinete do Ministério das Comunicações","14:30","15:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","15/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Francesco Azzarelo, Embaixador da Itália.","Gabinete do Ministério das Comunicações","11:00","11:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","15/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência com Ariel Szarfstein e François Martins, representantes do Mercado Livre.","Gabinete do Ministério das Comunicações","14:00","14:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","16/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputada Carla Zambelli (PSL/SP)","Gabinete do Ministério das Comunicações","13:00","14:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","16/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Mailda Health, Cândido Junior, Ney Paranaguá e Gutho Barreto.","Gabinete do Ministério das Comunicações","15:30","16:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","16/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência com investidores do Banco Itaú","Gabinete do Ministério das Comunicações","11:00","12:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","16/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputada Federal Tábata Amaral (PDT/SP)","Gabinete do Ministério das Comunicações","12:30","13:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","17/09/2020","","Despachos com Chefe de Gabinete do Ministro, Estella Dantas","Gabinete do Ministério das Comunicações","14:30","15:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","17/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Vice-presidente de Assuntos Institucionais do SBT, Roberto Franco.","Gabinete do Ministério das Comunicações","11:00","11:20","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","17/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","16:00","18:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","17/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência na 6ª Reunião dos Ministros de Comunicações do BRICS 2020","Gabinete do Ministério das Comunicações","09:00","11:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","21/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Arthur Lira (PP/AL)","Gabinete do Ministério das Comunicações","17:00","17:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","21/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","14:30","16:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência com ministros do Tribunal de Contas da União (TCU), Vital do Rego e Bruno Dantas. Presidente do Google Brasil, Fábio Coelho. Secretário-Executivo do Ministério das Comunicações, Fábio Wajngarten","Gabinete do Ministério das Comunicações","17:30","18:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal, Hélio Lopes (PSL/RJ)","Gabinete do Ministério das Comunicações","10:30","11:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","14:30","17:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência com presidentes da Telefônica Vivo, Christian Gebara, da Claro, José Antônio Guaraldi, e da Tim, Pietro Labriola.","Gabinete do Ministério das Comunicações","11:30","11:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Despachos com Chefe de Gabinete do Ministro, Estella Dantas","Gabinete do Ministério das Comunicações","18:00","19:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","22/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Marcos Pereira, vice-presidente da Câmara dos Deputados","Gabinete do Ministério das Comunicações","11:00","11:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Diego Andrade, líder do PSD, e Deputado Federal Cezinha de Madureira, PSD/SP.","Gabinete do Ministério das Comunicações","09:30","10:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Domingos Neto (PSD/CE) e Adriano Nogueira, Diretor do Grupo Otimista","Gabinete do Ministério das Comunicações","11:40","12:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Ex-Deputado Federal Antônio Imbassahy","Gabinete do Ministério das Comunicações","16:00","16:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Antônio Brito (PSD/BA)","Gabinete do Ministério das Comunicações","11:20","11:40","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Hugo Motta (Republicanos/PB)","Gabinete do Ministério das Comunicações","17:00","17:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Danilo Forte (PSDB/CE)","Gabinete do Ministério das Comunicações","10:30","11:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","23/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Aluísio Mendes (PSC/MA)","Gabinete do Ministério das Comunicações","15:30","16:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","24/09/2020","","Despachos com Chefe de Gabinete do Ministro, Estella Dantas","Gabinete do Ministério das Comunicações","15:00","15:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","24/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Cléber Verde (Pepublicanos/MA)","Gabinete do Ministério das Comunicações","10:30","11:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","24/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Intel Brasil","Gabinete do Ministério das Comunicações","10:00","10:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","24/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Senador Jorginho Melo (PL/SC)","Gabinete do Ministério das Comunicações","09:30","10:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","24/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","16:00","18:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","28/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","10:30","12:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","28/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Vicente Aquino, membro do Conselho Diretor da Agência Nacional de Telecomunicações (ANATEL)","Gabinete do Ministério das Comunicações","15:00","15:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","28/09/2020","","Despachos internos","Gabinete do Ministério das Comunicações","16:30","18:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","28/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Davi Soares (DEM/SP)","Gabinete do Ministério das Comunicações","15:30","16:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","29/09/2020","","Assessoria ao Ministro de Estado das Comunicações em videoconferência com os ministros do TCU, Vital do Rego e Bruno Dantas. Secretário-executivo do MCom, Fábio Wajngarten. E Presidente d o Google Brasil, Fábio Coelho.","Gabinete do Ministério das Comunicações","17:30","18:30","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","29/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES), Gustavo Montezano. E Secretário-executivo do Ministério das Comunicações, Fábio Wajngarten.","Gabinete do Ministério das Comunicações","14:00","15:00","",""
"Assessor Especial do Ministro","","Ministéro das Comunicações","Modesto Keyson Leite Lima","29/09/2020","","Assessoria ao Ministro de Estado das Comunicações em reunião com Deputado Federal Cléber Verde (Republicanos/MA)","Gabinete do Ministério das Comunicações","10:00","10:30","",""
