"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","09/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","09:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","09/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","10/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","10/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","11:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","10/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","18:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","11/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","17:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","11/09/2020","","Despachos com Assessor Especial do Ministro MCom, Keyson Lima.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","11/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","15:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","11/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","10:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","14/09/2020","","Despachos com Secretário de Radiodifusão do MCom, Maximiliano Martinhão.","Gabinete do Ministério das Comunicações","15:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","14/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","10:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","14/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","14/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","17:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","14/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","16:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","15/09/2020","","Despachos com Assessor Especial do Ministro MCom, Keyson Lima.","Gabinete do Ministério das Comunicações","15:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","15/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","11:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","15/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","16:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","15/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","10:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","15/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","15:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","16/09/2020","","Despachos com Secretário de Radiodifusão do MCom, Maximiliano Martinhão.","Gabinete do Ministério das Comunicações","10:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","16/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","15:15","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","16/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","11:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","17/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","11:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","17/09/2020","","Despachos com Assessor Especial do Ministro MCom, Keyson Lima.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","17/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","17:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","17/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","09:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","18/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","10:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","18/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","14:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","18/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","16:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","21/09/2020","","Despachos com Coordenador-Geral de Serviços do Gabinete do MCom, Bruno Lins.","Gabinete do Ministério das Comunicações","16:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","21/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","10:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","21/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","14:00","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","21/09/2020","","Despachos internos.","Gabinete do Ministério das Comunicações","17:30","00:00","",""
"Chefe de Gabinete","","Ministéro das Comunicações","Maria Estella Dantas Antonichelli","22/09/2020","","Despachos com Chefe da Assessoria Especial de Assuntos Parlamentares do MCom, Wagner Primo.","Gabinete do Ministério das Comunicações","10:00","00:00","",""
