"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","17/09/2020","","Reunião de Assessoramento","Webconferência","16:00","17:00","Emmanuel Felipe Borges Pereira Santos, José Carlos Souza, Wilson Diniz Wellisch, Daniela Naufel Schettino, José Afonso Cosme Júnior","Discussão sobre GESAC"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","21/09/2020","","Reunião com o Secretário Vitor Menezes","Webconferência","15:45","16:00","Vitor Elísio Góes de Oliveira Menezes- Secretário da Secretaria de Telecomunicações., Elíbio Estrela- Chefe de Assessoria Especial no Controle Interno","Despacho Interno"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","21/09/2020","","Reunião sobre PL- Serviços Postais","Webconferência","10:00","11:00","Francklin Andrade Mattar Furtado- Coordenador- Geral da Subsecretária de Unidades Vinculadas","PL- Serviços Postais"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","21/09/2020","","Reunião de Assessoramento sobre Contratação Digital","Webconferência","16:00","17:00","Rodrigo Fayad de Albuquerque Rosa- Secretário de Publicidade e Promoção, Peter Eric Kummer- Diretor do Departamento de Gestão e Normas, João Paulo Dondelli- Diretor  do Departamento de Projetos Especiais","Contratação Digital"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","22/09/2020","","Reunião de Assessoramento com equipe da Secretaria de Radiodifusão","Webconferência","14:30","16:30","Maximiliano Martinhão- Secretário de Radiodifusão, Otávio Caixeta;-Chefe de Gabinete da SERAD ,  Rodrigo Cruz Gebrim-Diretor do Departamento de Inovação, Regulamentação e Fiscalização,  William Ivo K. Zambelli-Diretor do Departamento de Outorga e Pós Outorga, Emmanuel Felipe - Coordenador- Geral de Radiodifusão e telecomunicações, João Paulo Santos Borba- Coordenador de Radiodifusão e Telecomunicações, Danielle Brasil- Coordenadora de Radiodifusão Comercial e chefe de serviços ancilares, Tatiane Razuk- Coordenadora de Licitação e Radiodifusão",""
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","22/09/2020","","Reunião com representantes da Secretaria Especial de Programa de Parcerias de Investimentos (SPPI) e PGFN","Webconferência","10:00","11:00","Martha Seillier, Secretária Especial;, Bruno Westin, Secretário Especial Adjunto, Rafael Fortunato, Assessor, Robson Eneas, Assessor Chefe, Thiago Brito, Assessor;, .Ricardo Soriano, Procurador-Geral da Fazenda Nacional;, .Luciano Carvalho, Coordenador-Geral em Licitação e Atos Normativos em Contratação Pública – CGLA;, Fabiano Araújo, Procurador-Geral Adjunto da Procuradoria-Geral de Consultoria de Pessoal, Normas e Patrimônio - (PGACPNP);",""
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","23/09/2020","","Reunião de assessoramento sobre Pl - Serviço Postal","Gabinete do Ministro","14:30","15:30","Fábio Salustino Mesquita de Faria- Ministro das Comunicações, Martha Seillier- Secretária Especial do Programa de Parcerias de Investimentos","Pl - Serviço Postal"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","24/09/2020","","Reunião de Assessoramento sobre SEI x LGPD","Bloco R, 8º andar- sala 802","17:00","18:00","Maximiliano Salvadori Martinhão - Secretário de Radiodifusão, Flávia Duarte Nascimento - Secretária Executiva Adjunta, Miriam Wimmer - Diretora Departamento de políticas para telecom. E acompanhamento regulatório, Artur Coimbra de Oliveira - Diretor de Aprimoramento do Ambiente de Investimentos em telecomunicações, Vitor Elísio Góes de Oliveira Menezes- Secre´tário de Telecomunicações","SEI x LGPD"
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","24/09/2020","","Reunião de assessoramento com Antônio Carlos Bezerra Leonel","Bloco R, 9º Andar, Sala 900","10:30","11:00","Secre´tário de Telecomunicações- Vitor Elísio Góes de Oliveira Menezes, Secre´tário de Radiodifusão- Maximiliano Salvadori Martinhão, Chefe Especial do Controle Interno- Elíbio Estrêla",""
"Consultora Jurídica","","Ministéro das Comunicações","Carolina Scherer Bicca","25/09/2020","","Apresentação dos Advogados","Webconferência","15:00","16:00","Dr. Emmanuel Felipe, Dra. Danielle Brasil, Dra. Tatiane Razuk, Dr. João Paulo,  Dra. Lidia Lima, Dra. Tônia Costa, Dra. Alessandra Rodrigues, Dr. Weslley Arruda,  Dra. Rejane Perfeito, Dra. Paula Bispo, Dr. José Carlos, Dr. Davi Alves, Dr. Felipe Arruda, Dr. Vitor Araujo, Dr. Arthur Porto",""
