"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","21/09/2020","","Reunião SETEL/AECI/CPQD","Esplanada dos Ministérios, Bloco R, sala 700.","11:00","12:00","Elíbio Estrêla - Chefe da Assessoria Especial de Controle Interno - AECI/MCOM, Wilson Diniz - Diretor do Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga - SETEL/MCOM, Arthur Rodrigo Mota de Miranda - Chefe da Assessoria Especial de Controle Interno - AECI/MCTI, Vagner Costa -  Coordenador-Geral de Governança de Fundos, Substituto -  DGI/SEXEC/MCTI, Cristian Cunha - Diretor de Relações Institucionais - CPQD","CPQD. Edital Conecta Brasil e Funttel/TCU."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","21/09/2020","","Reunião Interna - SETEL/AECI/CONJUR - MCOM","Esplanada dos Ministérios, Bloco R, sala 802","15:45","16:00","Vitor Elísio Góes de Oliveira Menezes - Secretário de Telecomunicações - SETEL/MCOM, Elíbio Estrêla - Assessor Especial de Controle Interno - AECI/MCOM, Carolina Scherer Bicca - Consutora Jurídica - Conjur/MCOM",""
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","24/09/2020","","Reunião com o Secretário Federal de Controle Interno da CGU, Antônio Carlos Bezerra Leonel.","Esplanada dos Ministérios, Bloco R, 9º andar, Sala 900.","10:00","10:30","Elíbio Estrêla, Chefe de Controle Interno - AECI/MCOM. , Maximiliano Salvadori, Secretario de Radiodifusão - SERAD/MCOM., Vitor Elísio Góes de Oliveira Menezes, Secretario de Telecomunicação - SETEL/MCOM. , Carolina Scherer Bicca - Consultora Jurídica Conjur/MCOM",""
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","24/09/2020","","Reunião Interna - AECI/SETEL/DAD","Esplanada dos Ministérios, Bloco R, 8º andar, Sala 802","18:00","18:30","Vitor Elísio Góes de Oliveira Menezes - Secretário de Telecomunicações - SETEL/MCOM., Flávia Duarte Nascimento - Diretora do Departamento de Administração - DAD/MCOM.","Validação dos fluxos de processos."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","28/09/2020","","Reunião com o Secretário de Controle Interno da Secretaria-Geral da Presidência, Edson Leonardo Dalescio Sa Teles","Palácio do Planalto, Anexo III Ala B sala 213 superior","15:30","16:30","Vitor Elísio Menezes - Secretário de Telecomunicações - SETEL/MCOM , Flávia Duarte Nascimento - Diretora do Departamento de Administração - DAD/SEXEC","Controle Interno."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","01/10/2020","","Reunião com a Diretora do Departamento de Administração, Flávia Duarte Nascimento.","Esplanada dos Ministérios, Bloco R, Edifício Sede, 8º andar, Sala 800.","14:30","15:30","Flávia Duarte Nascimento, Diretora do Departamento de Administração - DAD/SEXEC/MCTI , Luana Fagundes - Corregedora/AECI/MCOM, Ana Carolina Fuck Fullana - Ouvidora/AECI/MCOM","Recursos Humanos."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","07/10/2020","","Reunião com o Coordenador-Geral de Auditoria das Áreas de Ciência, Tecnologia, Inovações e Comunicações da CGU, Marcelo Montalvão Reis.","Webconferência","15:00","16:00","Jane Teles de Oliveira - Assessora Técnica - AECI/MCOM;, Vanessa Gomes Pizzetti Constanti - Auditora Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Fernando Roriz Marques Cardoso - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC/CGTIC;, Marcelo Montalvao Reis - Auditor Federal de Finanças e Controle - SFC/DI/CGTIC.","Apresentação da equipe da CGU responsável pelo acompanhamento da SETEL, SERAD e Anatel; além de tratar das demandas em andamento junto ao Ministério."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","09/10/2020","","Reunião Interna","Esplanada dos Ministérios, Bloco R, térreo, sala 10.","10:00","11:00","Luana Fagundes - Corregedora - CORREG/AECI/MCOM;, Cristina de Oliveira Lopes - COJIP/COREG/AECI/MCOM.","Processos em trâmites no SEI."
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","19/10/2020","","Reunião com os Ministros do Tribunal de Contas da União (TCU), Bruno Dantas e Vital do Rego; Ministro das Comunicações, Fábio Faria; Secretário-Executivo do Ministério das Comunicações, Fábio Wajngarten; Presidente do Google no Brasil, Fábio Coelho.","Videoconferência","16:00","16:30","Vítor Elísio Menezes, Secretário de Telecomunicações SETEL/MCOM;, Carolina Scherer Bicca - Consultora Jurídica - CONJUR/MCOM;, Daniel Arbix, Diretor Jurídico do Google no Brasil; , Marcelo Lacerda, Diretor Políticas Públicas do Google no Brasil; , Cassio Brandão, Gerente de Negócios do Google no Brasil.",""
"Chefe da Assessoria Especial de Controle Interno","","Ministéro das Comunicações","Elíbio Estrêla","20/10/2020","","Reunião com a Diretora do Departamento de Administração, Flávia Duarte Nascimento.","Esplanada dos Ministérios, Bloco R, sala 804.","15:00","15:30","Ana Carolina Fuck Fullana - Ouvidora - OUVID/AECI/MCOM.","Movimentação de Pessoal."
