"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","10/11/2020","","Apresentação NBS/Rio de Janeiro","Videoconferência","17:00","18:00","Eduardo Bicudo- CEO DAN Brasil, Tatiana Soter-COO NBS , Greice Tavares",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","10/11/2020","","Pátria Voluntária","Esplanada dos Ministério Bloco A 6º andar","16:00","17:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","10/11/2020","","Rede Nova Brasil","Esplanada dos Ministério Bloco A 6º andar","15:00","16:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","11/11/2020","","Campanhas: Mulheres","Esplanada dos Ministério Bloco A 6º andar","16:00","17:00","Gislaine Passador , Wilka Oliveira , Luana Roque , Zildete Melo , Bete Rosa , Carla Russi , Carol Nunes , José Geraldo Oliveira  ,  Bruno Altieri , David Murad, Aline Souza",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","11/11/2020","","Noel Marketing e Grupo Rezek","Esplanada dos Ministério Bloco A 6º andar","10:00","10:30","Maurício Neves –Diretor da NOEL Marketing, Luiz Fernando Ferraz Bueno- CEO do Grupo  Rezek",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","11/11/2020","","NBS","Esplanada dos Ministério Bloco A 6º andar","11:00","11:30","Carla Russi-COO da nbs, Bete Rosa- Diretora de Atendimento da nbs",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","11/11/2020","","Campanha de Posicionamento/Ajustes - Calia","Esplanada dos Ministério Bloco A 6º andar","17:00","18:00","Rodrigo Fayad  , Gislaine Passador , Wilka Oliveira , Luiz Eduardo , Samir – Atendimento Calia, Geiza – Diretora de Criação Calia",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","11/11/2020","","GO2MOB","Esplanada dos Ministério Bloco A 6º andar","15:00","16:00","Rodrigo Fayad de Albuquerque Rosa, Alexandre Ramalho- Diretor Executivo da GO2MOB-SP, Ana Paula- GO2MOB Parceira Comercial",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","12/11/2020","","Brand Safety com Mídia em Push","Esplanada dos Ministério Bloco A 6º andar","15:56","16:56","Rodrigo Fayad  , Fabio Rosa – Empresa Móbile, Claudio Santos – CSO na Empresa Hands",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","12/11/2020","","Apresentação da Teads Ad Mananger","Esplanada dos Ministério Bloco A 6º andar","15:00","16:00","Rodrigo Fayad  – Secretário de Publicidade e Promoção do MCom , Gustavo Burnett  - Diretor Geral da TEADS e Sr. Fabrício Proti diretor Geral da ADTarget",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","12/11/2020","","Merchandising dos Shoppings da Multiplan","Esplanada dos Ministério Bloco A 6º andar","11:00","11:30","Rodrigo Fayad – Secretário de Publicidade e Promoção, Marcelo Koschar- Gerente de Merchandising dos Shoppings da Multiplan, Daniele Abreu - Gerente de Merchandising dos Shoppings da Multiplan",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","13/11/2020","","Climatempo + Secom | Mosquito","Esplanada dos Ministério Bloco A 6º andar","00:00","00:00","jorge.bueno@adtarget.com.br- organizador, iandra.siqueira@adtarget.com.br, daniele.maldaner@presidencia.gov.br, , 	•		jorge.bueno@adtarget.com.br- organizador, , •		luiz.oliveira@presidencia.gov.br, , •		iandra.siqueira@adtarget.com.br, , •		daniele.maldaner@presidencia.gov.br",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","13/11/2020","","Reunião Secom","Esplanada dos Ministério Bloco A 6º andar","11:00","11:30","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","13/11/2020","","Tratar de Assuntos Secom","Esplanada dos Ministério Bloco A 6º andar","00:00","00:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","Seven Propagandas","Esplanada dos Ministério Bloco A 6º andar","16:00","16:30","","Tratar de assuntos relativos à Agência Seven Propagandas"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","Apresentação Linkedin e Insights","Esplanada dos Ministério Bloco A 6º andar","14:30","15:30","","Como aplicas as novidades da Linkedin para a realidade do Governo"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","Campanha de Posicionamento/Ajustes","Presencial","10:30","11:00","Rodrigo Fayad –  Secretário de Publicidade e Promoção, Gislaine Passador- Diretora do Departamento de Publicidade, Adriana Mercadante- Agencia Calia","Campanha de Posicionamento/Ajustes"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","23º Webinar ABA “Brand Safety","Videoconferência","08:50","10:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","Alinhamento de Campanha","Videoconferência","11:12","00:00","","Posicionamento de Campanhas Governamentais"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","19/11/2020","23º Webinar ABA “Brand Safety: Boas práticas do IAB para a proteção de marcas em tempo real” dia 19/11 com Vitor Bellote do IAB 
 Sandra Martinelli  Presidente Executiva    sandramartinelli@aba.com.br","Rede Pampa","Esplanada dos Ministério Bloco A 6º andar","17:00","17:30","","Apresentação das Diretrizes da Rede Pampa"
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","20/11/2020","","Planejamento de 2021","Esplanada dos Ministério Bloco A 6º andar","11:00","12:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","23/11/2020","","Campanha de publicidade - Revitalização de Bacias","Esplanada dos Ministério Bloco A 6º andar","14:30","15:30","Gislaine Passador Bittencourt de Sa",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","23/11/2020","","Rede Brasil de Televisão","Esplanada dos Ministério Bloco A 6º andar","17:00","17:30","Rodrigo Fayad de Albuquerque Rosa",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","23/11/2020","","PAULO OCTÁVIO MÍDIA & SECOM/PR","Esplanada dos Ministério Bloco A 6º andar","15:30","16:00","",""
"Coordenador-Geral de Mídia","","Secom","Luiz Antônio Oliveira Alves","24/11/2020","","JH Markting Ltda","Esplanada dos Ministério Bloco A 6º andar","17:00","17:30","",""
