"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","11/01/2021","","DESPACHO INTERNO","Gabinete SETEL","14:00","16:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","11/01/2021","","DESPACHO INTERNO","Gabinete SETEL","09:00","16:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","12/01/2021","","Reunião com Coordenadores Gerais","DETEL","09:30","12:30","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","12/01/2021","","DESPACHO INTERNO","DETEL","14:00","18:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","13/01/2021","","Reunião online com Equipe","DETEL","14:00","17:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","13/01/2021","","DESPACHO INTERNO","DETEL","09:00","12:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","14/01/2021","","Reunião com Equipe.","DETEL","14:00","16:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","14/01/2021","","DESPACHO INTERNO","DETEL","10:00","12:35","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","15/01/2021","","DESPACHO INTERNO","SETEL","09:00","12:00","",""
"Diretora do Departamento de Políticas para Telecomunicações e Acompanhamento Regulatório","","Ministério das Comunicações","Nathalia Almeida de Souza Lobo","18/01/2021","","DESPACHO INTERNO","DETEL","15:00","17:00","",""
