"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","17/11/2020","","Alinhamento do Site Covid/Retomada/Posicionamento","Esplanada dos Ministérios Bloco A sala 610","17:00","18:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","18/11/2020","","Página Brasil Forte Link: https://meet.google.com/yhu-mwmu-jdu","vídeo conferencia","10:00","11:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","18/11/2020","","Página Brasil Forte","Por vídeoconferencia","10:00","11:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","19/11/2020","","Cancelado: Construção Site Brasil Forte","Palácio do Planalto - subsolo, sala 05","14:30","15:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","20/11/2020","","Mensagem Presidencial","Palácio do Planalto 2º andar sala 206","16:30","19:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","20/11/2020","","Reunião:  Política Nacional de Desenvolvimento - Flavia Duarte Nascimento- Secretaria Executiva Adjunta","Esplanada dos Ministérios Bloco R sala 804.","17:30","18:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","24/11/2020","","Reunião:  Política Nacional de Desenvolvimento","Esplanada dos Ministérios Bloco A, 6º andar sala 608","10:00","11:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","25/11/2020","","Sistemas","bl A sala 641","15:00","16:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","25/11/2020","","CGU - LAI - Vídeo conferência","vídeoconferencia","15:30","16:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","25/11/2020","","Reunião TCU - SECOM","bl A sala 610 vídeoconferencia","10:30","11:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","26/11/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","14:30","16:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","26/11/2020","","Política Nacional de Desenvolvimento - construção de documento","Bloco A, Sala 610","10:00","11:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","27/11/2020","","Fotos para o site MCTIC","Esplanada dos Ministérios Bloco A sala 609","11:00","11:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","30/11/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","14:15","15:45","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","02/12/2020","","Reunião de alinhamento com os Sercretários","Bloco ""R"" Sala 802","15:00","16:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","04/12/2020","","I Reunião do Comitê de Proteção de Dados Pessoais no âmbito do Ministério das Comunicações","Esplanada dos Ministérios Bloco R subsolo - Salão Nobre","16:30","19:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","07/12/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","14:15","15:45","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","14/12/2020","","Reunião do Comitê Gestor Gov.br","Videoconferência","17:00","18:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","14/12/2020","","Reunião de Alinhamento com os Secretários.","Esplanada dos Ministérios Bloco R salão nobre Subsolo","16:00","17:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","17/12/2020","","Reunião sobre Assuntos Gerais","Esplanda dos Ministério Bloco R sala 804.","10:11","10:11","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","17/12/2020","","Reunião Comitê de Governança Digital","GAB/SEXEC Bloco R Sala 802","16:17","16:17","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","30/12/2020","","Reunião sobre Credenciais Secom","vídeoconferencia","11:00","12:00","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","05/01/2021","","Audiência Pública","Esplanada dos Ministérios Bloco R, Auditório.","14:00","15:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","05/01/2021","","Audiência Pública","Esplanada dos Ministérios Bloco R, Auditório.","14:00","15:30","",""
"Departamento de Pesquisa","","MCOM","José Augusto Carvalho de Oliveira","08/01/2021","","Plano de ações para 2021","Bloco A, Sala 610","16:00","17:00","",""
