"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","14/09/2020","","Reunião Geral do Departamento","Palácio do Planalto, 1° Subsolo, Sala 10.","14:00","16:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","14/09/2020","","Despacho Interno","Palácio do Planalto, 1° Subsolo, Sala 10.","08:00","12:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","14/09/2020","","Reunião com José Matheus - Assessoria Presidente da República","Palácio do Planalto, 1° Subsolo, Sala 05.","16:00","18:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","15/09/2020","","Despacho Interno","Palácio do Planalto, 1° Subsolo, Sala 05.","08:00","12:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","15/09/2020","","Reunião com Secretário de Comunicação Institucional Felipe Cruz Pedri","Palácio do Planalto, 2° andar, Sala 206.","12:00","14:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","15/09/2020","","Reunião com José Matheus - Assessor Presidente da República","Palácio do Planalto, 1° Subsolo, Sala 05.","16:00","18:30","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","16/09/2020","","Reunião de Diretoria com Secretário de Comunicação Institucional Felipe Pedri","Palácio do Planalto, 2° andar, Sala 206.","11:00","12:00","Lucas Gelásio Morschbacher – Coordenador Geral de Estratégia de Comunicação",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","16/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","17:00","18:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","16/09/2020","","Reunião com Ministro Fábio Faria","Esplanada dos Ministe´rios, Bloco R","11:00","12:00","Lucas Gelásio Morschbacher – Coordenador Geral de Estratégia de Comunicação",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","16/09/2020","","Despacho Interno","Esplanada dos Ministe´rios, Bloco R","08:00","11:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","17/09/2020","","Ministro Fábio Faria","Esplanada dos Ministérios Bloco R","10:00","12:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","17/09/2020","","Reunião com Mateus Diniz, Assessor Especial SECOM","Palácio do Planalto, 2° andar, Sala 206.","00:00","00:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","17/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","08:00","10:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","18/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","14:00","19:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","18/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","08:00","12:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","21/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","13:00","17:00","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","22/09/2020","","Despacho Interno","Palácio do Planalto, 2° andar, Sala 206.","13:00","17:30","",""
"Diretor do Departamento de Conteúdo e Gestão de Canais","","Ministéro das Comunicações","Mateus Colombo Mendes","22/09/2020","","Reunião com Secretário de Comunicação Institucional Felipe Pedri","Palácio do Planalto, 2° andar, Sala 206.","11:00","12:30","Roberta Ramaldes Toscano – Diretora do Departamento de Articulação e Estratégia de Comunicação , Lucas Gelásio Morschbacher – Coordenador Geral de Estratégia de Comunicação",""
