"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","10/09/2020","","Reunião com Ministro Fábio Faria - Ministro das Comunicações","Esplanada dos Ministérios, bloco R 9º andar","10:00","10:30","","Apresentação pós nomeação para exercer o cargo de Diretor do Departamento de Gestão e Normas."
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","10/09/2020","","Reunião com Ministro Fábio Faria - Ministro das Comunicações","Esplanada dos Ministérios, bloco R 9º andar","10:00","10:30","","Apresentação pós nomeação para exercer o cargo de Diretor do Departamento de Gestão e Normas."
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","14/09/2020","","Contratos","Palácio do Planalto, 2º andar.","12:00","13:00","Felipe Cruz Pedri - Secretário de Comunicação Institucional",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","14/09/2020","","Coordenação de Referência de Preços","Esplanada dos Ministérios, Bloco A, 6º Andar","14:30","15:00","Lílian Almeida Barra - Coordenadora-Geral de Orçamento e Finanças",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","15/09/2020","","Reunião Felipe Pedri - Secretário de Comunicação Institucional","Palácio do Planalto, 2º andar.","15:00","16:00","Felipe Cruz Pedri - Secretário de Comunicação Institucional","Distribuição de secretárias;
Levantamento da demanda de estagiários;
Levantamento do regime de trabalho (celetista ou estatutário) dos servidores;
Alinhamento das ações de comunicação do PR das próximas semanas."
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","16/09/2020","","Contratação de Publicidade CAIXA","Esplanada dos Ministérios, Bloco A, 6º Andar.","17:00","18:00","Camila Brea Marodin - Superintendente Nacional da CAIXA;, Marcia Maria Pachaly - Assessora Técnica na Coordenação-Geral de Administração de Contratos.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","16/09/2020","","Edital de Publicidade","Palácio do Planalto, 2º andar.","10:00","11:00","Cesar Gobbi – Chefe de Gabinete",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","17/09/2020","","Contrato na área de informática","Esplanada dos Ministérios, Bloco R, 8º Andar - Ed. Sede.","17:30","18:30","Vitor Menezes - Secretário-Executivo - Ministério das Comunicações;, Flávia Duarte Nascimento - Secretária-Executiva Adjunta - Ministério das Comunicações.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","21/09/2020","","Reunião com Antônio Carlos Futuro-Secretário/Executivo da Secretária Geral da Presidência da República","Palácio do Planalto, 4º andar.","11:00","11:30","Antônio Carlos Futuro-Secretário/Executivo da Secretária Geral da Presidência da República",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","21/09/2020","","Contratação Digital","Esplanada dos Ministérios, Bloco R, 8º Andar - Ed. Sede.","16:00","17:00","Rodrigo Fayad Albuquerque Rosa - Secretário de Publicidade e Promoção;, Carolina Scherer Bicca - Consultora Jurídica do Ministério das Comunicações.",""
