"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","10/09/2020","","Reunião sobre o Ponto de Controle Sistema SICOM.","Palácio do Planalto, ANEXO I - Sala 105.","14:00","16:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","10/09/2020","","Reunião Preparatória - Inauguração da Usina Fotovoltaica Coremas III.","Palácio do Planalto, 3º andar, sala 301.","10:00","11:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","11/09/2020","","Reunião Preparatória - Viagem do PR ao Estado do Mato Grosso.","Palácio do Planalto, 3º andar, sala 301.","10:00","11:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","14/09/2020","","Reunião da Secretaria de Comunicação Institucional - SECOM.","Palácio do Planalto, 2º andar, sala 206.","15:00","16:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","14/09/2020","","Reunião Virtual do Comitê de Crise do Coronavírus.","Palácio do Planalto, 4º andar, sala 97.","10:00","11:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","15/09/2020","","Entendimento de necessidades de comunicação da SEAE.","Palácio do Planalto, Anexo I superior, Ala A, Sala 216.","16:00","17:30","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","16/09/2020","","Reunião Ponto de controle do projeto gov.br.","Palácio do Planalto, videoconferência.","10:30","11:30","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","16/09/2020","","Reunião Virtual do Comitê de Crise do Coronavírus.","Palácio do Planalto, 4º andar, sala 97.","10:00","11:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","16/09/2020","","Demanda da SEAE.","Esplanada dos Ministérios, bloco A.","14:30","15:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","16/09/2020","","Apresentação de Propostas do Planejamento estratégico SECOM.","Esplanada dos Ministérios, bloco A, sala 608.","15:00","18:00","",""
"Diretora do Departamento de Articulação e Estratégia de Comunicação","","Ministéro das Comunicações","Roberta Ramaldes Toscano","17/09/2020","","Reunião: Covax Facilit - Comunicação.","Palácio do Planalto, 4º andar, sala 97.","14:00","15:00","",""
