"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","09/11/2020","","","Palácio do Planalto, 4º andar,","","","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","10/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar.","14:30","18:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","10/11/2020","","Despachos Internos","Palácio do Planalto, 2º andar.","09:00","13:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","11/11/2020","","Despachos Internos","Palácio do Planalto, 4º andar.","14:00","18:30","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","11/11/2020","","Reuniões Internas.","Palácio do Planalto, 4º andar.","09:00","12:30","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","12/11/2020","","Reuniões Internas.","Palácio do Planalto.","09:30","12:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","12/11/2020","","Despachos Internos","Palácio do Planalto.","14:00","19:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","13/11/2020","","Despachos Internos","Palácio do Planalto, 4º andar.","15:00","19:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","13/11/2020","","Reuniões Internas.","Palácio do Planalto, 4º andar.","09:00","13:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","16/11/2020","","Despachos Internos","Palácio do Planalto, 4º andar.","15:00","19:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","16/11/2020","","Despachos Internos","Palácio do Planalto, 4º andar.","10:00","13:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","17/11/2020","","Reunião Colegiada.","Palácio do Planalto, 2ª andar, sala 206.","11:00","12:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","17/11/2020","","Reuniões Internas.","Palácio do Planalto, 4º andar.","14:30","17:00","",""
"Diretora de Comunicação Internacional","","MCom","Gilsandra da Luz Clark","19/11/2020","","Despachos Internos.","Palácio do Planalto, 4º andar.","11:00","16:00","",""
