"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Ministro","","Ministério das Comunicações","Fábio Faria","23/06/2020","   
   ","Floriano Peixoto, Presidente dos Correios","Gabinete do Ministro","09:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/06/2020","   
   ","Leonardo Euler, Presidente da Anatel","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/06/2020","   
   ","Filipe Barros, Deputado Federal","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/06/2020","   
   ","Cerimônia de Inauguração do Centro de Operações Espaciais Principal (COPE-P)","Brasília (DF)","15:45","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","General Luiz Carlos Pereira, Presidente da EBC","Gabinete do Ministro","09:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Leonardo Rodrigues de Jesus","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Reunião Ministerial","Palácio do Planalto","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Marcos Pontes, Ministro da Ciência, Tecnologia e Inovações","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Joaquim Passarinho, Deputado Federal","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Diego Andrade, Deputado Federal (Líder do PSD); Domingos Neto, Deputado Federal; Marx Beltrão, Deputado Federal","Gabinete do Ministro","18:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Fernando Rodolfo, Deputado Federal","Gabinete do Ministro","18:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Hugo Motta, Deputado Federal","Gabinete do Ministro","19:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Martha Seillier, Secretária Especial do Programa de Parcerias de Investimentos (PPI)","Gabinete do Ministro","19:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","24/06/2020","","Fábio Andrade, Vice-Presidente de Relações Institucionais da Claro","Gabinete do Ministro","17:30","18:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","25/06/2020","","Fernando Rodolfo, Deputado Federal","Gabinete do Ministro","09:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","25/06/2020","","Joaquim Passarinho, Deputado Federal","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","25/06/2020","","Ricardo Guidi, Deputado Federal","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","30/06/2020","","Onyx Lorenzoni, Ministro da Cidadania","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","30/06/2020","","Cerimônia da prorrogação do Auxílio Emergencial","Palácio do Planalto","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","30/06/2020","","Embaixador Ernesto Araújo, Ministro das Relações Exteriores","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Carlos Moura, Presidente da Agência Espacial Brasileira","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","David Soares, Deputado Federal","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Diego Andrade, Deputado Federal","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Irajá Abreu, Senador","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Carlos Viana, Senador","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Representantes da ABERT","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","01/07/2020","","Delegado Pablo, Deputado Federal","Gabinete do Ministro","18:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","02/07/2020","","Sessão Solene de Promulgação da PEC eleições municipais","Congresso Nacional","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","02/07/2020","","Vitor Elísio, Secretário de Telecomunicações","Gabinete do Ministro","12:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","02/07/2020","","Magda Carvalho, diretora de Marketing da Caixa Econômica, e Celso Leonardo, vice-presidente de Varejo da Caixa Econômica","Gabinete do Ministro","12:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","Vitor Elísio, Secretário de Telecomunicações","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","João Henrique Holanda Caldas, Deputado Federal","Gabinete do Ministro","14:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","Dr. João, Deputado Federal","Gabinete do Ministro","14:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","Yon Moreira da Silva, Presidente da Surf Telecom","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","Representantes Anatel e TIM","Gabinete do Ministro","16:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","07/07/2020","","Florence Bauer, Chefe do Unicef Brasil","Gabinete do Ministro (videoconferência)","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Damares Alves, Ministra da Mulher, Família e Direitos Humanos","Gabinete do Ministro","09:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Entrevista ao Programa Manhã Bandeirantes - Datena","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Fabio Wajngarten, Secretário-Executivo","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Aguinaldo Ribeiro, Deputado Federal","Gabinete do Ministro","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Waldemar Gonçalves, Presidente da Eletrobras","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","08/07/2020","","Ciro Nogueira, Senador","Gabinete do Ministro","17:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","09/07/2020","","Reunião no Planalto","Palácio do Planalto","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","09/07/2020","","Paulo Eduardo Martins, Deputado Federal","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","09/07/2020","","Caio Junqueira e Juliana Perrone","Gabinete do Ministro","19:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","13/07/2020","","Christian Gebara, ´Presidente da Telefônica Brasil / Vivo","Gabinete do Ministro","14:00","14:30","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Despachos internos","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Entrevista à TV Record","TV Record","15:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Carlos Viana, Senador","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Fred Costa, Deputado Federal e Líder do Patriota","Gabinete do Ministro","16:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Francisco JR, Deputado Federal","Gabinete do Ministro","16:45","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","José Medeiros, Deputado Federal","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Darci de Matos, Deputado Federal, e Carlos Chiodini, Deputado Federal","Gabinete do Ministro","17:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","14/07/2020","","Adriano do Baldy, Deputado Federal","Gabinete do Ministro","17:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Líder e vice-líderes do Governo na Câmara","Gabinete do Ministro","08:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","2ª Reunião do Conselho Nacional da Amazônia Legal","Palácio do Itamaraty","09:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Rodrigo Abreu, Presidente da Oi Telecom","Gabinete do Ministro","15:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","ABRINT - Associação de Pequenos Provedores de Internet","Gabinete do Ministro","16:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Felipe Carreras, Deputado Federal","Gabinete do Ministro","16:45","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Coronel Armando, Deputado Federal","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Beto Rosado, Deputado Federal","Gabinete do Ministro","17:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Silas Câmara, Deputado Federal","Gabinete do Ministro","17:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Severino Pessoa, Deputado Federal","Gabinete do Ministro","17:45","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Diego Garcia, Deputado Federal","Gabinete do Ministro","18:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","15/07/2020","","Francisco JR, Deputado Federal","Gabinete do Ministro","18:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","16/07/2020","","Yon Moreira da Silva, Presidente da SURF Telecom","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","16/07/2020","","Despacho interno","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","16/07/2020","","Leonardo Euler de Morais, Presidente da Anatel","Gabinete do Ministro","14:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","16/07/2020","","Gustavo Montezano, Presidente do BNDES","Gabinete do Ministro","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","16/07/2020","","Paulo Guedes, Ministro da Economia","Palácio do Planalto (videoconferência)","17:30","00:00","Participantes:, Daniella Marques, Chefe da Assessoria Especial de Assuntos Estratégicos, Pedro Guimarães, Presidente da Caixa Econômica Federal, Rubem Novaes, Presidente do Banco do Brasil, Gustavo Montezano, Presidente do BNDES",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Luísa Canziani, Deputada Federal","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Perpétua Almeida, Deputada Federal","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Roberto de Lucena, Deputado Federal","Gabinete do Ministro","14:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Florence Bauer, Representante da Unicef no Brasil","Gabinete do Ministro","14:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Sinditelebrasil - Sindicato Nacional das Empresas de Telefonia e de Serviços Móvel Celular e Pessoal","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","21/07/2020","","Paulo Tonet, Presidente da Associação Brasileira de Emissoras de Rádio e Televisão (ABERT)","Gabinete do Ministro","00:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","Reunião G20 virtual","Gabinete do Ministro (videoconferência)","08:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","Fernando Schmidt, Embaixador do Chile no Brasil","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","HC Hong, presidente e CEO Samsung América Latina; Yoonie Joung, presidente Samsung Brasil; Hokyun Kim e Mario Laffitte","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","Reunião no Planalto","Palácio do Planalto","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","General Girão, Deputado Federal","Gabinete do Ministro","17:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","Cândido Pinheiro, Presidente do Grupo Opinião de Comunicação","Gabinete do Ministro","18:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","22/07/2020","","Programa A Voz do Brasil","EBC","18:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Entrevista SBT","SBT Brasília, Edifício Palácio da Imprensa","09:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Vitor Elísio, Secretário de Telecomunicações, e Artur Coimbra, Secretário-Adjunto de Telecomunicações","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Gutemberg Reis, Deputado Federal, e Washington Reis, prefeito do município de Duque de Caxias","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Entrevista ao jornal O Globo","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Entrevista Terça Livre","Gabinete do Ministro","13:50","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","23/07/2020","","Paulo Guedes, Ministro da Economia, e Rodrigo Maia, presidente da Câmara","Ministério da Economia","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","27/07/2020","","Braga Netto, Ministro-Chefe da Casa Civil","Palácio do Planalto","16:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Murillo Laranjeira, Facebook; Fernando Gallo, Twitter; Marcelo Lacerda, Google; e Pablo Bello, Whatsapp","Gabinete do Ministro (videoconferência)","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Márcio Alaor, Vice-Presidente Banco BMG","Gabinete do Ministro","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Júlio César, Deputado Federal","Gabinete do Ministro","14:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Cezinha de Madureira, Deputado Federal","Gabinete do Ministro","14:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Carlos Fávaro, Senador","Gabinete do Ministro","14:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Marcelo Sampaio, Secretário-Executivo do Ministério da Infraestrutura","Gabinete do Ministro","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Júlio César Ribeiro, Deputado Federal; e Delmasso, Deputado Distrital","Gabinete do Ministro","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","André Spigariol, Revista Crusoé","Gabinete do Ministro","16:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Felipe Carreras, Deputado Federal","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","28/07/2020","","Romero Jucá, Ex-senador","Gabinete do Ministro","17:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Marcos Tolentino, Presidente da Rede Brasil de Televisão","Gabinete do Ministro","10:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Colbert Martins Filho, Prefeito de Feira de Santana (BA)","Gabinete do Ministro","10:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Vivien Suruagy, Presidente da Confederação Nacional da Tecnologia da Informação e Comunicação","Gabinete do Ministro (videoconferência)","11:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Domingos Neto, Deputado Federal","Gabinete do Ministro","11:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Bruno Giovanni, Rádio 96FM","Gabinete do Ministro (videoconferência)","12:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Damião Feliciano, Deputado Federal","Gabinete do Ministro (videoconferência)","14:15","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Daniela Ribeiro, Senadora","Gabinete do Ministro (videoconferência)","14:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Vitor Elísio, Secretário de Telecomunicações, e Artur Coimbra, Secretário-Adjunto","Gabinete do Ministro","15:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Cerimônia de Lançamento da Campanha Mulheres Rurais, Mulheres com Direitos","Palácio do Planalto","16:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Ciro Nogueira, Senador","Gabinete do Ministro","16:45","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Carlos Henrique Gaguim, Deputado Federal - Vice-Líder do Governo","Gabinete do Ministro","17:00","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Pedro Lupion, Deputado Federal","Gabinete do Ministro","17:30","00:00","",""
"Ministro","","Ministério das Comunicações","Fábio Faria","29/07/2020","","Renata Abreu, Deputada Federal","Gabinete do Ministro","17:45","00:00","",""
