"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","04/11/2020","10h00 - Representar o Sr. Ministro de Estado das Comunicações na Webinar CERTAL ""Telecomunicações na Nova Realidade""","Cerimônia alusiva à marca de 100 milhões de Poupanças Sociais Digitais CAIXA","Palácio do Planalto","17:00","18:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","04/11/2020","10h00 - Representar o Sr. Ministro de Estado das Comunicações na Webinar CERTAL ""Telecomunicações na Nova Realidade""","Reunião com a SAJ - Casa Civil/PR","Videoconferência","15:00","16:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","04/11/2020","10h00 - Representar o Sr. Ministro de Estado das Comunicações na Webinar CERTAL ""Telecomunicações na Nova Realidade""","Reunião de alinhamento com os Secretários do MCOM","Gabinete da Secretaria Executiva","16:00","17:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","04/11/2020","10h00 - Representar o Sr. Ministro de Estado das Comunicações na Webinar CERTAL ""Telecomunicações na Nova Realidade""","Representa o Ministro de Estado das Comunicações, Sr. Fábio Faria, no Webinar CERTAL “Telecomunicações na Nova Realidade”","Videoconferência","10:00","11:30","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","05/11/2020","","Reunião na Secretaria de Comunicação Institucional do MCOM","Gabinete da SECOM","14:00","15:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","05/11/2020","","Representa o Ministro de Estado das Comunicações, Sr. Fábio Faria,  na cerimônia de Celebração do 23º Aniversário da Agência Nacional de Telecomunicações.","ANATEL","15:00","16:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","05/11/2020","","Despachos Internos","Gabinete da SEXEC","09:00","11:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","05/11/2020","","Reunião com o Senhor Marcos Ferrari da Conexis Brasil","Gabinete da SEXEC","11:30","12:30","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","06/11/2020","","Reunião de Apresentação com equipe do BNDES","Gabinete da SEXEC","08:00","10:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","06/11/2020","","Treinamento e Atualização de Administradores e Conselheiros Fiscais da Telebras","Videoconferência","09:00","13:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","06/11/2020","","Reunião com a equipe do Funttel","Videoconferência","14:30","17:30","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","09/11/2020","","Reunião com Sergio Paulo Gallindo - Presidente da Brasscom","Videoconferência","11:00","12:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","09/11/2020","","I Reunião Ordinária do Conselho do Programa Nacional de Incentivo ao Voluntariado","Palácio do Planalto","14:30","15:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","09/11/2020","","Reunião com General de Divisão Decílio de Medeiros Sales e  Dr. Nelson Simões RNP","Gabinete da SEXEC","09:00","10:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","09/11/2020","","Despacho interno","Gabinete da SEXEC","17:00","17:30","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","09/11/2020","","Reunião de alinhamento com os Secretários do MCOM","Gabinete da SEXEC","15:30","17:00","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","10/11/2020","","Reunião com a Consultora Juridica do MCOM Dra. Carolina Bicca","Gabinete do MCOM","10:40","11:10","",""
"Secretário Executivo Vitor Elísio Góes de Oliveira Menezes","","Ministéro das Comunicações","Vitor Elísio Góes de Oliveira Menezes","10/11/2020","","Despacho interno com a Assessoria Internacional do MCOM","Gabinete da SEXEC","09:00","09:30","",""
