"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","05/10/2020","Reunião sobre Gestão de Convênios MCTI / FINEP","Reunião CGU-CONJUR/MCOM","Webconferência","16:30","17:30","Arthur Cerqueira Valério – Consultor-Geral da União - CGU/AGU, Victor Ximenes Nogueira – Diretor DECOR/CGU/AGU, Carolina Scherer Bicca – Consultora Jurídica - CONJUR/MCOM, Felipe Silveira - CONJUR/MCOM, Davi Alves - CONJUR/MCOM, Flávia Duarte Nascimento – SE/MCOM, Mirian Fiúza – SE/MCOM",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","05/10/2020","Reunião sobre Gestão de Convênios MCTI / FINEP","Reunião Interna","Webconferência","18:00","18:00","Secretario Executivo Adjunto Mcti  -Carlos Baptistucci",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","05/10/2020","Reunião sobre Gestão de Convênios MCTI / FINEP","Reunião Interna","Webconferência","15:00","16:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","05/10/2020","Reunião sobre Gestão de Convênios MCTI / FINEP","Reunião Interna","Esplanada dos Ministério Bloco R -","10:00","11:00","Alexandre Villain- Assessor da Diretoria de Administração Mcti",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","06/10/2020","","Reunião sobre Sisref Mcti/Mcom","Webconferência","16:00","17:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","07/10/2020","","Reunião Apresentação do Projeto de Gestão de Convênios","Webconferência","10:50","11:50","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","07/10/2020","","Reunião Interna","Webconferência","11:30","12:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","07/10/2020","","Reunião sobre Mensagem Presidencial","Webconferência","17:00","18:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","08/10/2020","","Reunião sobre Sistema de Informação -SECOM-PR/MCOM","Palácio do Planalto","10:00","11:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","08/10/2020","","Reunião sobre Plano de Transição Secom/Mcom","Palácio do Planalto","15:00","16:00","-Clovis Félix Curado Júnior, Secretário Especial de Administração (Não participou), - Edilson Portela França, Secretário Especial de Administração - Adjunto, - Girley Vieira Damasceno, Assessor Especial, - Manuel Augusto Alves Silva, Diretor DIGEP, - Maria Clotilde Prado, Diretora DITEC Substituta, - Sérgio Cruz, Diretor DIROF, - Maurílio dos Santos,  Diretor DILOG, - General Marcelo Eschiletti Caldas Rodrigues, Diretor DIENP",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","08/10/2020","","Reunião sobre Força de Trabalho","Esplanada dos Ministério Bloco E","11:00","12:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","08/10/2020","","Reunião sobre Força de Trabalho","Palácio do Planalto","11:30","12:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","09/10/2020","","Não há Compromissos Públicos","Palácio do Planalto","00:00","00:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","12/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","15:00","16:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","16/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","16:00","17:00","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","19/10/2020","","Reunião Interna","Webconferência","14:30","15:30","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","19/10/2020","","Reunião Interna","Webconferência","10:30","11:30","",""
"Secretária Executiva Adjunta","","Ministéro das Comunicações","Flávia Duarte Nascimento","20/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","10:00","11:00","",""
