"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","08/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","09/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","13/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","14/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","15/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","16/10/2020","","Não há Compromissos Públicos","","00:00","00:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","19/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","11:30","12:30","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","19/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","14:30","15:30","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","19/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","10:30","11:30","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","20/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","10:00","11:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","21/10/2020","","Reunião sobre Tranforma Gov","Webconferência","16:00","17:00","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","22/10/2020","","Reunião sobre Migração de Convênios","Esplanada dos Ministério Bloco E","14:30","15:30","",""
"Subsecretário de Orçamento e Administração","","Ministéro das Comunicações","Djair Fiorillo Lopes","22/10/2020","","Reunião com Mcom/Mcti","Esplanada dos Ministério Bloco E","14:00","14:30","",""
