"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","11/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","11/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","14/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","14/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","15/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","15/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","16/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","16/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","17/09/2020","","Covax Facility","Palácio do Planalto, 4º andar, Sala 97","14:00","15:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","17/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","18/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","18/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","14:00","19:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","21/09/2020","","Despachos Internos.","Palácio do Planalto, 2º andar, Sala 205","09:00","11:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedrí","21/09/2020","","Agenda Presidencial – Abordagem Estratégica.","Palácio do Planalto, 3° andar, sala 301","14:30","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","22/09/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","09:00","12:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","22/09/2020","","Apresentar  as pautas da Comissão Externa da Primeira Infância e tratar sobre o Projeto de Lei,  e implementação do ""Biênio da Primeira Infância"".","PP 2º andar sala 207","15:00","16:00","",""
"Secretário de Comunicação Institucional","","Ministéro das Comunicações","Felipe Cruz Pedri","23/09/2020","","Despachos Internos","Palácio do Planalto, 2º andar, sala 205","14:00","18:00","",""
