"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","05/10/2020","","Pré-produção dos filmes da campanha Casa Verde e Amarela.","Esplanada dos Ministérios Bloco A","16:30","18:00","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","05/10/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R","15:00","16:30","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","05/10/2020","","Reunião: LAI","Esplanada dos Ministérios Bloco A","14:30","15:00","Peter Kummer-Diretor de Gestão e Normas- DEGEM, Luiz Antonio-Coordenador de Mídia",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","15/10/2020","","Apresentação da FTPI.","Esplanada dos Ministérios Bloco A","15:00","15:30","Luiz Antonio Alves – Coordenador de Mídia, Renata Sanchez – Diretora Executiva FTPI",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","15/10/2020","","Eletromídia","Esplanada dos Ministérios Bloco A","11:00","11:30","Luiz Antonio Alves- Coordenador Geral de Mídia, José Eustáquio- Eletromídia",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","15/10/2020","","Petrobrás","Esplanada  Bloco A  (Videoconferência)","17:00","17:30","Luiz Antonio Oliveira- Coordenadora Geral de Mídia, Luis Eduardo Basto – Petrobras , Flavia da Justa - Gerente Executiva Petrobras",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","15/10/2020","","Audiência/Publicidade do Governo Federal","Esplanada dos Ministérios Bloco A","18:00","18:30","Felipe Oliveira- Chefe de Gabinete do Senador Márcio Bittar , Wânia Maria Pinheiro-Assessora Parlamentar do Senador Márcio Bittar , João Paulo Bittar",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","16/10/2020","","Apresentação Campanha  Amazônia","Esplanada dos Ministérios Bloco A","16:00","17:30","Felipe Cruz Pedri – Secretário de Comunicação Institucional , Gislaine Passador – Diretora de Publicidade, Luiz Antonio Alves  - Coordenador Geral de Mídia , Luana Roque – Assessora de Mídia , Roberta Ramaldes – Diretora de Articulação , Mateus Colombo – Diretoria de Conteúdo e Gestão de Canais , José Mateus Sales Gomes – Assessor Especial do PR , Andrea Paz",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","16/10/2020","","Campanha Mulheres","Esplanada dos Ministérios Bloco A","17:40","18:40","Gislaine, Wilka, Carolina, Artplan",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","16/10/2020","","Encerramento do Contrato Digital","Esplanada dos Ministérios Bloco A","10:00","10:30","Carolina Morales - Sócia proprietária da IComunicação",""
