"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","15/07/2020","","Audiência com o Deputado Davi Soares (DEM-SP)","Gabinete do Ministro","11:30","12:30","","Processos de Radiodifusão"
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximiliano Salvadori Martinhão","15/07/2020","","Audiência com o Deputado Diego Andrade (PSD-MG)","Gabinete do Ministro","15:00","16:00","","Processos de Radiodifusão"
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximiliano Salvadori Martinhão","15/07/2020","","Audiência com o Deputado Silas Câmara (REPUBLICANOS-AM)","Gabinete do Ministro","17:30","18:00","","Processos de Radiodifusão"
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","20/07/2020","","Audiência com o Senador Paulo Paim (PT/RS).","Gabinete do Ministro","16:00","17:00","","CEITEC"
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","21/07/2020","","Oficina de Diretrizes da EMBRAPII","Videoconferência","14:30","17:30","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","22/07/2020","","Reunião Rede Conectada - MCTIC","Videoconferência","17:00","18:00","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","22/07/2020","","Reunião com General Marco Aurélio, diretor-presidente do Instituto General Villas Boas.","Sala de situação, 5º andar - Bloco E.","15:00","15:45","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","23/07/2020","","Oficina de estabelecimento de diretrizes para o contrato de gestão com a RNP.","Videoconferência","14:30","17:30","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","24/07/2020","","Reunião do Conselho de Administração do NIC.br.","Videoconferência","15:00","17:00","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","24/07/2020","","Audiência com o Deputado Silas Câmara (REPUBLICANOS-AM)","Gabinete do Ministro","15:00","16:00","",""
"Secretário de Radiodifusão","","Ministéro das Comunicações","Maximilano Salvadori Martinhão","27/07/2020","","Reunião com o Sr. Vitor Menezes.","Gabinete da Secretaria Executiva","17:30","18:30","","Prévia - Questionamentos TCU."
