"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","05/11/2020","","Reunião","Ministério das Comunicações","15:00","16:00","Reunião por videoconferência com Carlos Eduardo – Vice-Presidente e Diretor de Regulamentação e Assuntos Institucionais,  Adriana Cunha – Diretora de Regulamentação e Roberto Blois – Diretor de Política Regulatória e Setorial.","Plano Geral de Metas para a Universalização -OI"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","05/11/2020","","Reunião","Ministério das Comunicações","10:00","11:00","Reunião por videoconferência com Eliana Cardoso Emediato Azambuja Coordenadora-Geral de Transformação Digital - CGTR","GT- Desenvolvimento profissional da Câmara de Agro 4.0."
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","06/11/2020","","Despacho interno","Ministério das Comunicações","14:30","17:30","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","06/11/2020","","Reunião de Apresentação BNDES","Ministério das Comunicações","08:00","10:00","Vitor Menezes Secretário-Executivo ,  Victor Alexandre Contarato Burns Chefe de Departamento ,Flávio Araújo de Mattos - Analista, Milber Fernandes Morais - Gerente e Renato Araujo de Freitas Gago - Analista.","Apresentação BNDES"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","09/11/2020","","Reunião- Programa Norte Conectado","Ministério das Comunicações","09:00","10:00","Vitor Elísio Menezes  Secretário- Executivo do Ministério das Comunicações, General de Divisão Decílio de Medeiros Sales e Nelson Simões -Diretor -Geral da Rede Nacional de Ensino e Pesquisa.",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","09/11/2020","","Evento por videoconferência  TIM Talks Experience","Ministério das Comunicações","14:00","15:30","","5G"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","09/11/2020","","Reunião por videoconferência  com Sergio Paulo Gallindo ,Presidente da Brasscom","Ministério das Comunicações","11:00","12:00","Vitor Menezes Secretário- Executivo do Ministério das Comunicações, Sergio Sgobbi -Diretor de Relações Institucionais da Brasscom e Daniel Stivelberg-  Gerente de Relações Governamentais da Brasscom.",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","09/11/2020","","Despacho interno com a Assessoria Especial de Comunicação Social do Ministério das Comunicações","Ministério das Comunicações","10:00","11:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","09/11/2020","","Despacho interno","Ministério das Comunicações","15:30","17:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","10/11/2020","","Reunião por videoconferência com a deputada federal Rosana Valle (PSB/SP)","Ministério das Comunicações","14:30","15:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","10/11/2020","","Reunião com o vice-presidente da Associação Brasileira de Supermercados (ABRAS), João Carlos Galassi","Ministério das Comunicações","15:00","15:30","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","10/11/2020","","Despacho interno","Ministério das Comunicações","10:00","11:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","11/11/2020","","Reunião com o Governador do Amazonas, Wilson Lima, e o secretário de Desenvolvimento Econômico, Ciência e Tecnologia, Jório Albuquerque","Ministério das Comunicações","10:00","10:30","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","11/11/2020","","Reunião com João Guilherme de Moraes, Diretor Presidente de Processamento de Dados do Amazonas - PRODAM","Ministério das Comunicações","11:00","12:00","Wilson Diniz Wellisch- Diretor do Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga e Nelson Simões Diretor-geral da Rede Nacional de Ensino e Pesquisa","Norte Conectado"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","11/11/2020","","Reunião por videoconferência do 15ª do Comitê Interministerial SPPI/CORREIOS","Ministério das Comunicações","15:00","16:30","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","12/11/2020","","Despacho interno","Ministério das Comunicações","09:00","10:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","12/11/2020","","Reunião por videoconferência com Leonardo Euler de Morais, Presidente do Conselho Diretor da Agência Nacional de Telecomunicações (Anatel)","Ministério das Comunicações","17:00","18:00","Marcelo Romão Manhaes de Azevedo, Assessor e  Maximiliano Martinhão , Secretário  de Radiodifusão do Ministério das Comunicações",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","12/11/2020","","Reunião com Dra. Karla Crossara Superintendente Executiva da Anatel","Ministério das Comunicações","15:30","16:30","Karla Crossara Rezende Superintendente Executiva da Anatel, Ronaldo Neves Moura Filho Chefe de Gabinete da Presidência da Anatel, Flávia Duarte Nascimento Secretária Executiva Adjunta , Liza Fernanda Fernandes R. V. Agra Assessora e Francklin Andrade Mattar Furtado  Coordenador Geral de Entidades Vinculadas",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","13/11/2020","","Despacho interno","Ministério das Comunicações","16:30","17:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","13/11/2020","","Despacho interno","Ministério das Comunicações","10:00","10:30","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","13/11/2020","","Reunião por Videoconferência Projeto PAIS","Ministério das Comunicações","17:00","18:30","Wilson Diniz Wellisch- Diretor do Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga,Decilio Sales , Alexandre Pedro, Oswaldo Alves e Eduardo Grizendi",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","13/11/2020","","Evento por videoconferência com Atilio Rulli, João Moura e Vitor Elísio Menezes","Ministério das Comunicações","14:30","16:00","","O que o setor espera para 2021"
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","16/11/2020","","Despacho interno","Ministério das Comunicações","14:30","16:00","",""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","16/11/2020","","Reunião por videoconferência com o Sr. Wlliam França, Secretário Nacional de Desenvolvimento e Competitividade do Turismo","Ministério das Comunicações","11:00","12:00","Vitor Elísio Menezes, Secretário-Executivo do Ministério das Comunicações ,Wilson Diniz Wellisch-Diretor do Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga, Willian Franca e Nicole Ferreira Facuri","""Rede Wifi"""
"Secretaria de Telecomunicações","","Ministéro das Comunicações","Artur Coimbra de Oliveira","16/11/2020","","Reunião com a Telebras ( GESAC)","Ministério das Comunicações","09:00","10:00","Wilson Diniz Wellisch- Diretor do Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga, Braulio, Fernando, José e Jane",""
