"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","08/02/2021","","Despacho Interno","Ministério das Comunicações","15:00","15:00","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","08/02/2021","","Despacho Interno","Ministério das Comunicações","16:00","16:00","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","08/02/2021","","Despacho Interno","Ministério das Comunicações","17:30","17:30","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","10/02/2021","","Reunião com a Bancada de Minas Gerais e o Assessor Parlamentar, Wagner Primo Figueiredo Neto","Ministério das Comunicações","10:30","10:30","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","10/02/2021","","Reunião por videoconferência  – Programa  Norte e Nordeste  Conectado","Ministério das Comunicações","16:00","16:00","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","10/02/2021","","Reunião por videoconferência Quinzenal de Monitoramento – Radiocomunicação","Ministério das Comunicações","14:30","14:30","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","11/02/2021","","WORKSHOP  SOBRE 5G     Palestrantes Maximiliano Martinhão  –Secretário de Radiodifusão  José Afonso – Secretário de Telecomunicações","Ministério das Comunicações - Salão Nobre","16:30","16:30","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","12/02/2021","","Reunião com o Diretor Departamento de Projetos de Infraestrutura de Telecomunicações e Banda Larga, Wilson Diniz Wellisch (SEBRAE)","Ministério das Comunicações","11:00","11:00","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","18/02/2021","","Reunião com o Senhor Sebastião Júnior, Presidente do Centro de Pesquisa e Desenvolvimento em Telecomunicações, Cristian Cunha, Diretor de Relações Institucionais ,Alberto Paradisi, Diretor de Estratégia Corporativa","Ministério das Comunicações","15:30","15:30","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","18/02/2021","","Acompanhando o Ministro de Estado da Defesa, Fernando Azevedo e Silva , à Unidade Básica de Saúde- Marajós","Cristalina- GO","10:00","10:00","",""
"Secretário de Telecomunicações","","MCom","José Afonso Cosmo Júnior","18/02/2021","","Reunião com Ministro das Comunicações, Fábio Faria; Secretário-executivo, Vítor Elísio; secretário de Radiodifusão, Maximiliano Martinhão; Consultora Jurídica, Carolina Bicca.","Secom/Palácio do Planalto","16:45","16:45","",""
