"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","05/11/2020","","Solenidade de Posse de Sua Excelência o Doutor Kassio Nunes Marques, no cargo de Ministro do Supremo Tribunal Federal","Plenário do Supremo Tribunal Federal, Brasília/DF.","16:00","17:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","05/11/2020","","Glen Valente - Diretor Presidente EBC","Palácio Planalto 2º andar sala 207","09:30","10:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","05/11/2020","","Joel Ilan Paciornik e Luis Felipe Salomão - Ministros do STJ","SAFS - Quadra 06 - Lote 01 - Trecho III -  Brasília - DF","12:30","14:30","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","06/11/2020","","Despachos Internos","Palácio do Planalto 2º andar sala 207","09:00","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","06/11/2020","","Despachos Internos","Palácio do Planalto 2º andar sala 207","14:30","19:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","09/11/2020","","Mário Frias - Secretário Especial de Cultura do Ministério do Turismo","Brasília - DF","12:00","13:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","09/11/2020","","Lançamento da Aliança pelo Voluntariado e Premiação Amigos da Pátria","Palácio do Planalto, 2° andar, Salão Nobre","17:00","18:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","10/11/2020","","Cerimônia de Lançamento da Retomada do Turismo","Palácio do Planalto, 2º andar, Salão Nobre","16:00","17:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","10/11/2020","","Despachos internos","Palácio Planalto 2º andar sala 207","08:30","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","11/11/2020","","Caio Andrade - Presidente do Serpro","Brasília - DF","08:15","09:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","11/11/2020","","Bruno Aranha Chefe de Gabinete do BNDES","Videoconferência","09:15","10:00","","Mídia"
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","12/11/2020","","Compra de Publicidade | Adtechs + IAB","Clube Hebraica – Entrada Rua Angelina Maffei Vita, Rua Angelina Maffei Vita, 450-580 - Pinheiros, São Paulo - SP.","09:30","10:30","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","12/11/2020","","Almirante Rocha e Paulo Zottolo","São Paulo - SP.","12:00","14:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","13/11/2020","","Ministro Milton Ribeiro - MEC, Várias lideranças e rabinos","Hebraica, rua Hungria 1000 - SP","14:00","16:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","13/11/2020","","Nelcina Tropardi - Presidente da ABA (Associação Brasileira de Anunciantes)","São Paulo","11:00","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","16/11/2020","","Despachos internos","Palácio Planalto 2º andar sala 207","10:00","12:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","17/11/2020","","Ministro da Defesa, General de Exército Fernando Azevedo e Silva","Ministério da Defesa - Bloco Q  - 6º andar,","11:00","13:00","",""
"Fábio Wajngarten","","Ministéro das Comunicações","Fábio Wajngarten","17/11/2020","","Sandra Martinelli, Presidente Executiva da ABA (Associação Brasileira de Anunciantes)","Videoconferência","09:00","09:30","","ENA"
