"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","01/10/2020","","","Webconferência","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","02/10/2020","","","Webconferência","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","04/10/2020","","","Webconferência","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","05/10/2020","","Reunião sobre Atualização Portal","Esplanada dos Ministério Bloco R","11:15","12:00","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","06/10/2020","","","Esplanada dos Ministério Bloco R","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","07/10/2020","","","Esplanada dos Ministério Bloco R","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","08/10/2020","","","Esplanada dos Ministério Bloco R","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","09/10/2020","","","Palácio do Planalto, 4º andar, Sala 97","","","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","13/10/2020","","Reunião com Secretário de Comunicação Institucional Felipe Pedri e Secretário de Publicidade e Promoção Rodrigo Fayad","Esplanada dos Ministério Bloco R -","15:30","18:30","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","13/10/2020","","Reunião sobre Termos Aditivos e Renovação dos Contratos","Webconferência","10:00","11:00","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","13/10/2020","","Reunião Interna","Esplanada dos Ministério Bloco R -","14:00","14:30","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","13/10/2020","","Reunião Migração Secom","Esplanada dos Ministério Bloco R -","11:00","12:00","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","14/10/2020","","Reunião: Renovação dos Contratos de Gestão","Webconferência","17:30","18:30","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","14/10/2020","","Termo de Compromisso de Gestão indicadores.","Webconferência","10:00","11:00","",""
"Subsecretária de Planejamento e Tecnologia da Informação","","Ministéro das Comunicações","Wanessa Queiroz de Souza Oliveira","15/10/2020","","Reunião ODBio","Webconferência","16:00","17:00","",""
