"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","05/10/2020","","Reunião com Celizara Miguel da Silveira, Coordenadora e Narjara Carvalho, Gerente Executiva, da Empresa Brasileira de Comunicação - EBC.","Palácio do Planalto","15:00","16:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","09/10/2020","","Videoconferência, Heitor Freire de Abreu, Subchefe de Articulação e Monitoramento da Casa Civil da Presidência da República","Palácio do Planalto","11:00","12:00","","Grupo de Trabalho para Consolidação das Estratégias de Governança e Gestão de Riscos do Governo Federal em resposta aos impactos relacionados ao coronavírus (covid-19)"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","13/10/2020","","Reunião com Peter Erik Kummer, Diretor do Departamento de Gestão e Normas.","Palácio do Planalto","15:00","16:30","","Empresa de comunicação corporativa BR Mais Comunicação."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","13/10/2020","","Reunião com Felipe Cruz Pedri, Secretário de Comunicação Institucional.","Palácio do Planalto","11:00","12:00","","Reunião da Diretoria Colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","14/10/2020","","Videoconferência, Jônathas Assunção de Castro, Secretário-Executivo da Secretaria de Governo da Presidência da República.","Palácio do Planalto","15:00","16:00","","Participação de Parlamentares nas Viagens dos Ministros de Estado"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","15/10/2020","","Reunião com Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Social - SECOM.","Palácio do Planalto","16:00","17:00","-Felipe Cruz Pedri - Secretário de Comunicação Institucional – SECOM, -Mateus Colombo Mendes – Diretor do Departamento de Conteúdo e Gestão de Canais – DECGC/SECOM, -Lucas Gelásio Morschbacher – Coordenador Geral de Estratégia de Comunicação – CGEC/SECOM, -Henrique Inácio Weizenmann – Assessor do Departamento  de Articulação e Estratégia de Comunicação - SECOM, - José Matheus Sales Gomes – Assessor Especial da Assessoria Especial do Presidente da República, - Filipe Martins -  Ass. Esp. para Assuntos Internacionais do PR, - Coronel Amilton Ramos, - Capitão de Fragata Flavio Almeida, Assessor de Com Soc.,  -Neyton Pinto, Assessor Especial/ASCOM,  -Gustavo Amaral, Assessor/ASCOM, -Ana Lúcia Schettino – Coordenadora de Comunicação, -Cristiane Gonçalves Corrêa – Secretaria de Articulação e Promoção da Ciência, -Carlos Rogério Antunes da Silva – Diretor de Articulação e Comunicação, -Daniela Silva Rezende, -Cel Jaick Chipoline","Plano de Comunicação da Amazônia."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","20/10/2020","","Reunião com Mateus Colombo Mendes, Diretor do Departamento de Conteúdo e Gestão de Canais, da Secretaria de Comunicação Institucional","Palácio do Planalto","10:00","11:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","23/10/2020","","Despacho interno com Coordenadores, Assessores, da Subsecretaria de Imprensa, da Secretaria de Comunicação Institucional.","Palácio do Planalto","15:30","16:30","Andrea Lopes;, Vera Stumm;, Anaterra Oliveira ;, Fernanda  Medeiros;, Janaína Camelo; , Ana Maria Carneiro;;, Telma Pavarino;",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","28/10/2020","","Jussara Soares, Repórter do Jornal Estadão.","Palácio do Planalto","11:00","12:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","03/11/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","14:30","15:30","Coronel Henry Wilson Munhoz Wender, Assessoria de  Comunicação Social da Secretaria Geral da Presidência;, Erica Maria Teixeira de Andrade– Chefe de Imprensa do Ministério da Economia;, Roberta Ramaldes Toscano – Diretora do Departamento de Articulação e Estratégia de Comunicação","Alinhamento de Comunicação com o Ministério da Economia/Secretaria Geral da Presidência da República/ Subsecretaria de Imprensa/MCOM  e Secretaria de Comunicação Institucional/MCOM."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","03/11/2020","","Cesar Gobbi, Chefe de Gabinete da Secretaria Especial de Comunicação Social, SECOM.","Palácio do Planalto","15:30","16:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","04/11/2020","","Casa da Record.","Lago Sul","13:00","13:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","04/11/2020","","Ricardo Chapola, Repórter do Sistema Brasileiro de Televisão, SBT.","Externo","15:00","15:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","09/11/2020","","Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional.","Palácio do Planalto","17:30","18:30","Rodrigo Fayad de Albuquerque, Secretário,  da Secretaria de Publicidade e Promoção; , Gislaine Passador Bittencourt, Diretora do Departamento de Publicidade;, Mateus Colombo Mendes, Diretor do Departamento de Conteúdo e Gestão de Canais, Wilka de Oliveira, Coordenadora-Geral de Conteúdo Publicitário;;, Vera Stumm, Coordenadora-Geral de Suporte;, Andrea Lopes, Coordenadora-Geral Relacionamento;, Amanda Leiria de Andrade, Coordenadora Geral de Conteúdo e Gestão de Canais;, Rafael Castelo de Carvalho, Coordenador-Geral de Articulação;, Juliana Borges Torres, Coordenadora-Geral de Eventos;, Lucas Gelásio Morschbacher, Coordenador-Geral de Estratégia de Comunicação; , Rejane Maria Braga, Assessora;, Caroline Bastos Carneiro, Assessora;",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","09/11/2020","","Márcia Pachalli, Assessora da Coordenação-Geral de Atendimento e Informações de Governo, Secretaria de Governo da Presidência da República.","Palácio do Planalto","15:30","16:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","10/11/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","11:00","13:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","10/11/2020","","Reunião por videoconferência, Pollyana de Freitas Andrade Miguel, Secretária-Executiva Adjunta do Programa Nacional de Incentivo ao Voluntariado (Pátria Voluntária)","Palácio do Planalto","11:00","12:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","13/11/2020","","Antônio Carlos de Paiva Futuro, Secretário-Executivo, da Secretaria-Geral da Presidência da República","Palácio do Planalto","14:30","15:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","16/11/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","17:30","18:30","","Definição de pautas prioritárias e alinhamento das estratégias de comunicação da Secom."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","16/11/2020","","Reunião por videoconferência Renata Cartafina, Executiva Comercial, CNN Brasíl.","Palácio do Planalto","12:30","14:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","17/11/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","11:00","12:00","","Diretoria colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","17/11/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","15:00","16:00","Roberta Ramaldes Toscano – Diretora de Articulação e Estratégia de Comunicação, Andrea Martucelli Magalhaes Paz – Chefe de Gabinete da SECOI, Luiz Fernando Coura – Coordenador de Governança, Marcos Vinícius – Coordenador de Sistemas, Eder Bezerra – Coordenador de Infraestrutura","Demandas para 2021"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","17/11/2020","","Clóvis Feliz Curado Junior, Secretário Especial, da Secretaria Especial de Administração - SA/SG","Palácio do Planalto","16:30","17:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","18/11/2020","","Fábio Faria Ministro de Estado das Comunicações","Minis´tério das Comunicações","16:00","16:30","Felipe Cruz Pedri- Secretário de Comunicação Institucional., Roberta Ramaldes Toscano-  Diretora de Articulação e Estratégia de Comunicação, Rodrigo Fayad de Albuquerque Rosa - Secretário de Publicidade e Promoção - SEPUP",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","19/11/2020","","Reunião por videoconferência Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional.","Palácio do Planalto","16:00","17:00","Felipe Cruz Pedri, Secretário de Comunicação Institucional, Roberta Ramaldes Toscano, Diretora de Articulação e Estratégias de Comunicação, Mateus Colombo Mendes, Diretor de Conteúdo e Gestão de Canais, Peter Erik Kummer, Diretor de Gestão e Normas, Rodrigo Fayad de Albuquerque Rosa, Secretário de Publicidade e Promoção","Decreto de Política de Comunicação."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","19/11/2020","","Adriana Ramos Silva Pinheiro, Secretária-Executiva do Programa Nacional de Incentivo ao Voluntariado","Palácio do Planalto","17:00","18:00","Andrea Lopes Vasconcelos Cartaxo, Coordenadora Geral de Relacionamento. , Roberta Ramaldes Toscano, Diretora de Articulação e Estratégia. , Flávio Botelho Peregrino, Assessor. , Rose Lane César, Assessora.","Programa Pátria Voluntária"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","20/11/2020","","Antônio Carlos de Paiva Futuro, Secretário-Executivo, da Secretaria-Geral da Presidência da República","Palácio do Planalto","17:00","18:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","20/11/2020","","Clóvis Feliz Curado Junior, Secretário Especial, da Secretaria Especial de Administração - SA/SG","Palácio do Planalto","16:00","16:30","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","20/11/2020","","Reunião por videoconferência Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação.","Palácio do Planalto","15:00","16:00","Felipe Cruz Pedri – Secretário de Comunicação Institucional;, Roberta Ramaldes Toscano – Diretora de Articulação e Estratégia de Comunicação;, Rafael castelo de Carvalho – Coordenador-Geral de Articulação;, Juliana Borges Tôrres – Coordenadora-Geral de Eventos;, Amanda Leiria Santos  – Coordenadora-Geral de Conteúdo e Gestão de Canais.",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","24/11/2020","","Reunião por videoconferência do Conselho Fiscal da EBC - CONFIS","Palácio do Planalto","09:00","12:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","25/11/2020","","Reunião por videoconferência Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional.","Palácio do Planalto","18:00","19:00","Felipe Cruz Pedri, Secretário de Comunicação Institucional, , Élcio Franco Secretário Executivo do Ministério da Saúde;, Carlos Eduardo Fonseca, Chefe da ASCOM do Ministério da Saúde;, Arnaldo Correia de Medeiros, Secretário de Vigilância em Saúde;, Alessandro Glauco dos Anjos de Vasconcelos, Assessor Especial., Marcelo  Pacheco dos Guaranys , Secretário Executivo do Ministério da Economia;, Representante do Secretário Executivo, Sr. Miguel Ragone de Mattos – Secretário Adjunto da Secretaria Executiva do Ministério da Economia;, Gabriela de Souza Valente, Chefe da ASCOM do Ministério da Economia.,  , Flavio Botelho Peregrino, Chefe da ASCOM da Casa Civil;, Lais Ferreira Bermudez, Gerente de Projetos – SAM;, Neyton Araujo Pinto, Assessor Especial – AESCOM.","Comunicação sobre a COVID-19."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","26/11/2020","","Peter Erik Kummer, Diretor de Gestão e Normas, Secretaria de Comunicação Institucional","Esplanada dos Ministérios, Bloco A","11:00","11:30","Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , Otto Cavalcante Medina – Assessor-Técnico, Carlos Endrigo da Costa Silva Xavier – Assistente na Coordenação Geral de Administração, Andrea Lopes Vasconcelos Cartaxo – Coordenadora-Geral de Relacionamento, Priscila Costa  Silva -  Chefe da Assessoria de Comunicação","Licitação de Comunicação Corporativa."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","26/11/2020","","Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional.","Palácio do Planalto","00:00","00:00","Felipe Cruz Pedri - Secretário de Comunicação Institucional, Mateus Colombo Mendes – Diretor do Departamento de Conteúdo e Gestão de Canais, Lucas Gelásio Morschbacher – Coordenador Geral de Estratégia de Comunicação, Henrique Inácio Weizenmann – Assessor do Departamento  de Articulação e Estratégia de Comunicação , José Matheus Sales Gomes – Assessor Especial da Assessoria Especial do Presidente da República, Filipe Martins -  Ass. Esp. para Assuntos Internacionais do Presidente da República , Coronel Amilton Ramos, Gabinete de Segurança Instalações, Capitão de Fragata Flavio Almeida, Assessor de Comunicação  Social., Neyton Pinto, Assessor Especial/ASCOM, Gustavo Amaral, Assessor/ASCOM, Ana Lúcia Schettino – Coordenadora de Comunicação, Cristiane Gonçalves Corrêa – Secretaria de Articulação e Promoção da Ciência, Carlos Rogério Antunes da Silva – Diretor de Articulação e Comunicação, Daniela Silva Rezende, Coronel Jaick Chipoline","Plano de comunicação da Amazônia."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","27/11/2020","","Clóvis Feliz Curado Junior, Secretário Especial, da Secretaria Especial de Administração - SA/SG","Palácio do Planalto","09:30","10:30","Edilson Portela Franca, Secretário Especial Adjunto de Administração , Humberto Miranda Cardoso, Assessor Especial , Girley Vieira Damasceno,  Assessor Especial , Jose Stalin de Andrade Junior, Assessor, Manuel Augusto Alves Silva, Diretor da DIGEP, Maria Clotilde Prado, Diretora da DITEC Substituta, , Flávia Nascimento, Secretária Adjunta do Ministério das Comunicações , Alessandra Xavier, Coordenadora-Geral de Gestão e Pessoas, Arthur Gomes Castro, Coordenador Geral de Planejamento Estratégico, Daniel Miranda Pontes Rogério, Coordenador-Geral de Tecnologia da Informação, Djair Fiorillo Lopes, Subsecretário de Orçamento e Finanças, Lilian Almeida Barra, Coordenadora Geral de Orçamento e Finanças , Wanessa de Oliveira, Subsecretária de Planejamento e Tecnologia da Informação","Controle dos trabalhos em andamento SECOM/Ministério das Comunicações."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","27/11/2020","","Gustavo de Assis Calsing, Coordenador-Geral de Administração de Contratos, Secretaria de Comunicação Institucional.","Palácio do Planalto","10:00","12:00","Peter Erik Kummer – Diretor de Gestão e Normas; , Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos;, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação; , Otto Cavalcante Medina – Assessor Técnico na Coordenação-Geral de Orientações Normas para Comunicação;, Carlos Endrigo da Costa Silva Xavier – Assistente na Coordenação-Geral de Administração de Contratos;, Márcia Maria Pachaly – Assessora Técnica na Coordenação-Geral de Administração de Contratos;, Márcio Borges de Castro e Silva – Assessor Técnico na Coordenação-Geral de Administração de Contratos;, Andrea Lopes Vasconcelos Cartaxo – Coordenadora-Geral de Relacionamento;, Joana Oliveira da Silva  - Assistente Técnica na Coordenação de Gestão;, Priscila Costa  Silva -  Chefe da Assessoria de Comunicação;, Shismenia Ananias de Oliveira – Coordenadora-Geral da Assessoria Especial de Comunicação Social.","Comunicação Corporativa."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","01/12/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","15:00","16:00","","Diretoria Colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","02/12/2020","","Fabio Wajngarten, Secretário Especial de Comunicação Social.","Palácio do Planalto","15:00","16:00","","Despacho interno."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","02/12/2020","","Maria Clotilde Prado, Diretora de Tecnologia Substituta - DITEC/SA/SG/PR","Palácio do Planalto","16:00","17:00","Glauco Lauria Marques., Marco Aurelio de Almeida Rosa., Marco Aurelio Costa., Márcio Rabelo Mota., Alessandro Borges da Silva., Daniel Rogério.","Credenciamento de imprensa."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","08/12/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","11:00","11:30","","Diretoria Colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","14/12/2020","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","11:00","12:00","","Diretoria colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","15/12/2020","","Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional.","Palácio do Planalto","10:00","11:00","Ministério da Saúde, Élcio Franco Secretário Executivo do Ministério da Saúde;, Carlos Eduardo Fonseca, Chefe da ASCOM do Ministério da Saúde;, Arnaldo Correia de Medeiros, Secretário de Vigilância em Saúde;, Alessandro Glauco dos Anjos de Vasconcelos, Assessor Especial;, Angelo Martins Denicoli, Diretor de Monitoramento e Avaliação do SUS.,  , Secretaria de Comunicação Institucional, Felipe Cruz Pedri; Secretário de Comunicação Institucional – SECOI;,        , Ministério da Economia, Marcelo  Pacheco dos Guaranys , Secretário Executivo do Ministério da Economia;, Representante do Secretário Executivo, Sr. Miguel Ragone de Mattos – Secretário Adjunto da Secretaria Executiva do Ministério da Economia;, Gabriela de Souza Valente, Chefe da ASCOM do Ministério da Economia.,  , Casa Civil, Presidência da República, Flavio Botelho Peregrino, Chefe da ASCOM da Casa Civil;, Lais Ferreira Bermudez, Gerente de Projetos – SAM;, Neyton Araujo Pinto, Assessor Especial – AESCOM.","Comunicação sobre COVID-19."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","17/12/2020","","Priscila Costa e Silva, Chefe da Assessoria Especial de Comunicação","Esplanada dos Ministérios, Bloco R","14:30","15:00","","Alteração Plano de Trabalho Comunicação Corporativa."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","18/12/2020","","Wanessa Queiroz de Sousa Oliveira, Subsecretária de Planejamento e Tecnologia da Informação, Ministério das Comunicações","Palácio do Planalto","11:00","12:00","","Sistema Secom."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","30/12/2020","","Reunião por videoconferência Flávia Duarte Nascimento, Secretária-Executiva Adjunta, Ministério das Comunicações.","Palácio do Planalto","11:00","12:00","","Credenciais Secom."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","04/01/2021","","Despacho interno com Coordenadores, Subsecretaria de Imprensa.","Palácio do Planalto","15:00","16:00","","Credenciamento 2021."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","08/01/2021","","Felipe Cruz Pedri, Secretário de Comunicação Institucional.","Palácio do Planalto","15:00","16:00","","Diretoria colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","11/01/2021","","Rafael Castelo de Carvalho, Coordenador-Geral de Articulação, Secretaria de Comunicação Institucional.","Palácio do Planalto","17:30","18:30","","Despacho interno."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","12/01/2021","","Reunião por videoconferência Rodrigo Gonçalves Barros, Coordenador de Conformidade Corporativa e Apoio aos Órgãos Estatutários - Empresa Brasil de Comunicação - EBC","Palácio do Planalto","09:00","12:00","","1ª Reunião Ordinária do Conselho Fiscal da EBC - CONFIS"
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","14/01/2021","","Rafael Castelo de Carvalho, Coordenador-Geral de Articulação, Secretaria de Comunicação Institucional.","Palácio do Planalto","16:00","17:00","Roberta Ramaldes Toscano, Diretora do Departamento de Articulação e Estratégia de Comunicação, da Secretaria de Comunicação Institucional. , Andrea Lopes  Vasconcelos Cartaxo, Coordenadora-Geral de Relacionamento, Secretaria de Comunicação Institucional.","Comunicação Internacional."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","14/01/2021","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","11:00","12:00","","Diretoria colegiada."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","15/01/2021","","Repórter Daniel Carvalho, Folha de São Paulo.","Externo","12:00","14:00","",""
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","18/01/2021","","Felipe Cruz Pedri, Secretário da Secretaria de Comunicação Institucional.","Palácio do Planalto","17:30","18:30","","Semanal."
"Subsecretária de Imprensa","","Ministéro das Comunicações","Stéfane Maia Rech","19/01/2021","","Adriana Ramos Silva Pinheiro, Secretária-Executiva do Programa Nacional de Incentivo ao Voluntariado - Pátria Voluntária.","Palácio do Planalto","15:15","16:15","","Ações de comunicação do Pátria 2021 e Tin Soldiers."
